kind	symbol	present	intro	note	detail
enum	DisplayServer.AccessibilityScrollUnit	---YYY	4.5	added-4.5	
enum	DisplayServer.Feature	YYYYYY	4.2	sig-drift	
enum	DisplayServer.HandleType	YYYYYY	4.2	sig-drift	
enum	DisplayServer.MouseMode	YYYYYY	4.2	sig-drift	
enum	DisplayServer.ProgressState	-----Y	4.7	added-4.7	
enum	DisplayServer.WindowEvent	YYYYYY	4.2	sig-drift	
enum	DisplayServer.WindowFlags	YYYYYY	4.2	sig-drift	
enum	DisplayServer.WindowResizeEdge	--YYYY	4.4	added-4.4	
method	DisplayServer.accessibility_create_element	---YYY	4.5	added-4.5	RID (window_id: int, role: enum::DisplayServer.AccessibilityRole)
method	DisplayServer.accessibility_create_sub_element	---YYY	4.5	added-4.5	RID (parent_rid: RID, role: enum::DisplayServer.AccessibilityRole, insert_pos: int = -1)
method	DisplayServer.accessibility_create_sub_text_edit_elements	---YYY	4.5	added-4.5+sig-drift+preserved	RID (parent_rid: RID, shaped_text: RID, min_height: float, insert_pos: int = -1, is_last_line: bool = false)
method	DisplayServer.accessibility_element_get_meta	---YYY	4.5	added-4.5	const Variant (id: RID)
method	DisplayServer.accessibility_element_set_meta	---YYY	4.5	added-4.5	void (id: RID, meta: Variant)
method	DisplayServer.accessibility_free_element	---YYY	4.5	added-4.5	void (id: RID)
method	DisplayServer.accessibility_get_window_root	---YYY	4.5	added-4.5	const RID (window_id: int)
method	DisplayServer.accessibility_has_element	---YYY	4.5	added-4.5	const bool (id: RID)
method	DisplayServer.accessibility_screen_reader_active	---YYY	4.5	added-4.5	const int ()
method	DisplayServer.accessibility_set_window_focused	---YYY	4.5	added-4.5	void (window_id: int, focused: bool)
method	DisplayServer.accessibility_set_window_rect	---YYY	4.5	added-4.5	void (window_id: int, rect_out: Rect2, rect_in: Rect2)
method	DisplayServer.accessibility_should_increase_contrast	---YYY	4.5	added-4.5	const int ()
method	DisplayServer.accessibility_should_reduce_animation	---YYY	4.5	added-4.5	const int ()
method	DisplayServer.accessibility_should_reduce_transparency	---YYY	4.5	added-4.5	const int ()
method	DisplayServer.accessibility_update_add_action	---YYY	4.5	added-4.5	void (id: RID, action: enum::DisplayServer.AccessibilityAction, callable: Callable)
method	DisplayServer.accessibility_update_add_child	---YYY	4.5	added-4.5	void (id: RID, child_id: RID)
method	DisplayServer.accessibility_update_add_custom_action	---YYY	4.5	added-4.5	void (id: RID, action_id: int, action_description: String)
method	DisplayServer.accessibility_update_add_related_controls	---YYY	4.5	added-4.5	void (id: RID, related_id: RID)
method	DisplayServer.accessibility_update_add_related_described_by	---YYY	4.5	added-4.5	void (id: RID, related_id: RID)
method	DisplayServer.accessibility_update_add_related_details	---YYY	4.5	added-4.5	void (id: RID, related_id: RID)
method	DisplayServer.accessibility_update_add_related_flow_to	---YYY	4.5	added-4.5	void (id: RID, related_id: RID)
method	DisplayServer.accessibility_update_add_related_labeled_by	---YYY	4.5	added-4.5	void (id: RID, related_id: RID)
method	DisplayServer.accessibility_update_add_related_radio_group	---YYY	4.5	added-4.5	void (id: RID, related_id: RID)
method	DisplayServer.accessibility_update_set_active_descendant	---YYY	4.5	added-4.5	void (id: RID, other_id: RID)
method	DisplayServer.accessibility_update_set_background_color	---YYY	4.5	added-4.5	void (id: RID, color: Color)
method	DisplayServer.accessibility_update_set_bounds	---YYY	4.5	added-4.5	void (id: RID, p_rect: Rect2)
method	DisplayServer.accessibility_update_set_checked	---YYY	4.5	added-4.5	void (id: RID, checekd: bool)
method	DisplayServer.accessibility_update_set_classname	---YYY	4.5	added-4.5	void (id: RID, classname: String)
method	DisplayServer.accessibility_update_set_color_value	---YYY	4.5	added-4.5	void (id: RID, color: Color)
method	DisplayServer.accessibility_update_set_description	---YYY	4.5	added-4.5	void (id: RID, description: String)
method	DisplayServer.accessibility_update_set_error_message	---YYY	4.5	added-4.5	void (id: RID, other_id: RID)
method	DisplayServer.accessibility_update_set_extra_info	---YYY	4.5	added-4.5	void (id: RID, name: String)
method	DisplayServer.accessibility_update_set_flag	---YYY	4.5	added-4.5	void (id: RID, flag: enum::DisplayServer.AccessibilityFlags, value: bool)
method	DisplayServer.accessibility_update_set_focus	---YYY	4.5	added-4.5	void (id: RID)
method	DisplayServer.accessibility_update_set_foreground_color	---YYY	4.5	added-4.5	void (id: RID, color: Color)
method	DisplayServer.accessibility_update_set_in_page_link_target	---YYY	4.5	added-4.5	void (id: RID, other_id: RID)
method	DisplayServer.accessibility_update_set_language	---YYY	4.5	added-4.5	void (id: RID, language: String)
method	DisplayServer.accessibility_update_set_list_item_count	---YYY	4.5	added-4.5	void (id: RID, size: int)
method	DisplayServer.accessibility_update_set_list_item_expanded	---YYY	4.5	added-4.5	void (id: RID, expanded: bool)
method	DisplayServer.accessibility_update_set_list_item_index	---YYY	4.5	added-4.5	void (id: RID, index: int)
method	DisplayServer.accessibility_update_set_list_item_level	---YYY	4.5	added-4.5	void (id: RID, level: int)
method	DisplayServer.accessibility_update_set_list_item_selected	---YYY	4.5	added-4.5	void (id: RID, selected: bool)
method	DisplayServer.accessibility_update_set_list_orientation	---YYY	4.5	added-4.5	void (id: RID, vertical: bool)
method	DisplayServer.accessibility_update_set_live	---YYY	4.5	added-4.5	void (id: RID, live: enum::DisplayServer.AccessibilityLiveMode)
method	DisplayServer.accessibility_update_set_member_of	---YYY	4.5	added-4.5	void (id: RID, group_id: RID)
method	DisplayServer.accessibility_update_set_name	---YYY	4.5	added-4.5	void (id: RID, name: String)
method	DisplayServer.accessibility_update_set_next_on_line	---YYY	4.5	added-4.5	void (id: RID, other_id: RID)
method	DisplayServer.accessibility_update_set_num_jump	---YYY	4.5	added-4.5	void (id: RID, jump: float)
method	DisplayServer.accessibility_update_set_num_range	---YYY	4.5	added-4.5	void (id: RID, min: float, max: float)
method	DisplayServer.accessibility_update_set_num_step	---YYY	4.5	added-4.5	void (id: RID, step: float)
method	DisplayServer.accessibility_update_set_num_value	---YYY	4.5	added-4.5	void (id: RID, position: float)
method	DisplayServer.accessibility_update_set_placeholder	---YYY	4.5	added-4.5	void (id: RID, placeholder: String)
method	DisplayServer.accessibility_update_set_popup_type	---YYY	4.5	added-4.5	void (id: RID, popup: enum::DisplayServer.AccessibilityPopupType)
method	DisplayServer.accessibility_update_set_previous_on_line	---YYY	4.5	added-4.5	void (id: RID, other_id: RID)
method	DisplayServer.accessibility_update_set_role	---YYY	4.5	added-4.5	void (id: RID, role: enum::DisplayServer.AccessibilityRole)
method	DisplayServer.accessibility_update_set_role_description	---YYY	4.5	added-4.5	void (id: RID, description: String)
method	DisplayServer.accessibility_update_set_scroll_x	---YYY	4.5	added-4.5	void (id: RID, position: float)
method	DisplayServer.accessibility_update_set_scroll_x_range	---YYY	4.5	added-4.5	void (id: RID, min: float, max: float)
method	DisplayServer.accessibility_update_set_scroll_y	---YYY	4.5	added-4.5	void (id: RID, position: float)
method	DisplayServer.accessibility_update_set_scroll_y_range	---YYY	4.5	added-4.5	void (id: RID, min: float, max: float)
